,Zip Code,Total Population,Population Density (per sq. mile),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Average Household Size,High school or more,Bachelor's degree or more,Master's degree or more,Civilian Population In Labor Force 16 Years And Over,Employed,Unemployed,Total Employed Civilian Population 16 Years And Over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Median household income,Average Household Income,Per Capita Income,Gini Index Of Income Inequality,Occupied Housing Units,Owner Occupied,Renter Occupied,Median House Value For All Owner-Occupied Housing Units,Median Gross Rent,Average Gross Rent,Workers 16 Years and over,"Car, truck, or van",Drove Alone,Carpooled,Public transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other means,Worked at home,Less than 10 minutes,10 to 19 minutes,20 to 29 minutes,30 to 39 minutes,40 to 59 minutes,60 to 89 minutes,90 or More minutes,Worked at home,Average Commute to Work (in min),Total Population,Native Born,Foreign Born,Naturalized Citizen,Not a Citizen
2590,10035,33488,23984.61,16147,17341,7069,13173,160,1366,0,10456,1264,2.47,14201,5055,2005,13112,11405,1707,11405,21,332,208,172,1632,608,327,807,1226,3146,1890,637,399,24533.0,46384.0,19541.0,0.575,12391,972,11419,445900.0,666.0,856.4848060250459,11217,853,581,272,8863,0,49,973,60,419,490,1060,1591,3755,2580,1092,230,419,34.0,33488,25016,8472,2899,5573
2591,10036,23132,52182.9,13452,9680,15333,1846,84,3853,0,1213,803,1.61,18002,12736,5548,17363,15586,1777,15586,0,230,607,385,1243,181,1124,2890,3574,2320,2181,638,213,66599.0,106275.0,68213.0,0.5382,14066,1453,12613,810300.0,1770.0,1852.90573218108,15348,831,719,112,7027,0,265,5875,247,1103,1247,3502,3824,3251,1517,553,351,1103,26.0,23132,16336,6796,2567,4229
2592,10037,17377,65825.32,7015,10362,1459,13227,38,564,0,1099,990,2.01,10603,4253,1819,8089,7138,951,7138,0,61,160,73,601,363,299,687,901,2720,454,272,547,37341.0,49721.0,25535.0,0.4722,8455,681,7774,260200.0,953.0,959.956264471315,6922,791,661,130,4988,0,10,874,16,243,317,818,1054,1830,1748,617,295,243,36.0,17377,14609,2768,1364,1404
2593,10038,20082,67481.89,9312,10770,10072,1451,296,6568,0,1447,248,2.06,11784,8490,3617,12006,11362,644,11362,0,45,176,343,813,225,454,2566,2495,2321,1088,437,399,66074.0,121450.0,58768.0,0.599,9047,2075,6972,616300.0,1537.0,1754.08777969019,11062,344,313,31,6103,0,102,3942,35,536,1247,2945,2833,1928,1075,385,113,536,23.0,20082,13399,6683,3643,3040
2594,10039,26577,57392.18,12415,14162,3743,18027,224,351,0,3227,1005,2.52,12892,4428,1625,12936,10022,2914,10022,0,183,240,141,1043,800,471,802,1073,3151,861,867,390,33595.0,46309.0,19675.0,0.4971,10456,1414,9042,352300.0,802.0,807.1001990710021,9644,1460,1111,349,6988,0,72,640,77,407,204,1249,1816,1737,2357,1581,293,407,37.0,26577,20242,6335,2574,3761
2595,10040,44825,118931.3,20300,24525,17602,4135,69,1210,0,20172,1637,2.78,22377,10853,4344,24629,21257,3372,21257,20,656,1233,420,2423,818,749,1805,2463,5901,3027,1274,468,42721.0,60419.0,23593.0,0.4849,15580,1509,14071,317300.0,1127.0,1134.18378224718,20302,2864,1765,1099,14372,0,66,2043,137,820,593,2253,2169,3239,6784,3296,1148,820,42.0,44825,23087,21738,10369,11369
2596,10044,12346,51084.92,5966,6380,6845,2159,73,2372,0,314,583,2.29,8080,5267,3316,6175,5762,413,5762,0,156,163,139,460,103,93,600,898,2092,256,145,657,83066.0,109331.0,43053.0,0.4659,4519,502,4017,580400.0,1982.0,1971.3965646004501,5677,407,348,59,4364,0,17,415,298,176,194,376,753,1836,1603,616,123,176,38.0,12346,6713,5633,1846,3787
2597,10065,32797,84897.65,14184,18613,28316,885,31,2819,16,178,552,1.82,26556,21581,11104,21176,20092,1084,20092,0,260,678,661,1422,236,1159,4975,3856,4983,1140,499,223,115519.0,214580.0,119546.0,0.5694,17867,5474,12393,1000001.0,2001.0,2043.2179456144602,19839,1749,1470,279,8860,0,133,7322,52,1723,2353,4658,4501,3674,2040,716,174,1723,24.0,32797,25147,7650,3806,3844
2598,10069,5118,49130.69,2634,2484,3828,166,0,1013,0,48,63,1.79,4309,3756,1860,3556,3333,223,3333,0,71,106,101,126,26,129,1058,785,669,105,95,62,170630.0,219954.0,123349.0,0.4562,2854,727,2127,966600.0,2001.0,2623.97743300423,3275,439,298,141,2186,0,25,436,0,189,41,324,712,1044,879,86,0,189,32.0,5118,3684,1434,708,726
2599,10075,24849,134653.3,10280,14569,21989,360,65,1448,0,537,450,1.77,20281,16718,7825,15617,14721,896,14721,0,217,798,570,782,165,1139,3240,3210,2661,1367,240,332,102941.0,189081.0,106575.0,0.564,13735,6274,7461,805300.0,1868.0,1882.3482106956199,14385,1381,1048,333,9283,10,0,2403,72,1236,513,2352,2716,4091,2627,678,172,1236,31.0,24849,20157,4692,2487,2205
2600,10103,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2602,10111,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2604,10115,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2605,10119,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2606,10128,60121,127735.4,25724,34397,49632,2691,41,5800,6,733,1218,1.91,45206,36851,18110,37125,34969,2156,34969,0,520,998,986,1671,438,2289,7738,7894,8425,2072,1049,889,96296.0,167622.0,89300.0,0.5626,31345,9314,22031,1000001.0,1879.0,1903.1773410194698,34520,3210,2558,652,24158,99,202,4064,297,2490,772,3831,7527,9895,6989,2370,646,2490,33.0,60121,47743,12378,5789,6589
2608,10153,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2610,10162,1327,116735.1,726,601,1213,0,0,95,0,0,19,1.9,929,867,303,732,689,43,689,0,51,64,28,15,0,30,134,162,164,0,0,41,168667.0,200459.0,106304.0,0.4081,700,0,700,,2001.0,2460.0,689,66,66,0,552,0,0,71,0,0,16,106,248,189,130,0,0,0,26.0,1327,980,347,89,258
2620,10177,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2625,10280,8685,62718.66,4233,4452,6045,75,0,2002,0,193,370,2.07,6536,5313,2495,5803,5485,318,5485,0,48,110,69,338,31,428,1434,1594,939,231,48,215,129574.0,167316.0,82005.0,0.4223,4190,1067,3123,685700.0,2001.0,2557.66890810118,5457,476,419,57,2914,0,33,1756,20,258,778,885,881,1333,784,407,131,258,29.0,8685,6018,2667,1217,1450
2626,10282,6217,71065.84,3489,2728,4259,47,20,761,0,774,356,2.42,4014,3531,1993,3273,3216,57,3216,0,0,76,77,122,42,147,1408,812,319,178,35,0,230952.0,293120.0,121627.0,0.4406,2574,179,2395,1000001.0,2001.0,2712.0250521920702,3118,280,217,63,1876,0,31,778,42,111,256,610,687,774,535,102,43,111,28.0,6217,4206,2011,536,1475
